YYYYMMDD,TG,RH,SP,FG
2005-01-02,64.0,-1.0,14.0,59.0
2005-01-03,75.0,0.0,8.0,48.0
2005-01-04,76.0,16.0,0.0,66.0
2005-01-05,59.0,32.0,0.0,42.0
2005-01-06,77.0,3.0,64.0,50.0
2005-01-07,112.0,-1.0,0.0,80.0
2005-01-08,91.0,-1.0,23.0,88.0
2005-01-09,75.0,3.0,34.0,59.0
2005-01-10,113.0,19.0,40.0,62.0
2005-01-11,101.0,7.0,38.0,53.0
2005-01-12,79.0,3.0,55.0,52.0
2005-01-13,56.0,0.0,18.0,40.0
2005-01-14,29.0,1.0,82.0,20.0
2005-01-15,3.0,0.0,79.0,29.0
2005-01-16,12.0,0.0,85.0,31.0
2005-01-17,63.0,78.0,0.0,55.0
2005-01-18,47.0,5.0,10.0,39.0
2005-01-19,55.0,4.0,69.0,48.0
2005-01-20,96.0,16.0,0.0,70.0
2005-01-21,58.0,8.0,24.0,54.0
2005-01-22,39.0,9.0,53.0,26.0
2005-01-23,16.0,20.0,52.0,33.0
2005-01-24,6.0,10.0,65.0,33.0
2005-01-25,-3.0,4.0,52.0,32.0
2005-01-26,-8.0,0.0,83.0,28.0
2005-01-27,13.0,14.0,0.0,12.0
2005-01-28,20.0,-1.0,2.0,18.0
2005-01-29,12.0,2.0,22.0,20.0
2005-01-30,59.0,11.0,3.0,23.0
2005-01-31,65.0,56.0,0.0,39.0
2005-02-01,46.0,4.0,19.0,33.0
2005-02-02,62.0,37.0,27.0,32.0
2005-02-03,65.0,4.0,26.0,23.0
2005-02-04,55.0,0.0,29.0,17.0
2005-02-05,23.0,0.0,81.0,35.0
2005-02-06,25.0,0.0,78.0,30.0
2005-02-07,-8.0,0.0,87.0,22.0
2005-02-08,-4.0,0.0,87.0,16.0
2005-02-09,52.0,2.0,22.0,39.0
2005-02-10,74.0,96.0,0.0,54.0
2005-02-11,66.0,23.0,23.0,15.0
2005-02-12,81.0,46.0,2.0,72.0
2005-02-13,35.0,4.0,23.0,48.0
2005-02-14,36.0,22.0,34.0,49.0
2005-02-15,17.0,-1.0,9.0,46.0
2005-02-16,0.0,0.0,53.0,35.0
2005-02-17,6.0,0.0,5.0,9.0
2005-02-18,18.0,30.0,0.0,37.0
2005-02-19,24.0,43.0,46.0,26.0
2005-02-20,22.0,2.0,60.0,31.0
2005-02-21,18.0,7.0,25.0,43.0
2005-02-22,2.0,2.0,23.0,54.0
2005-02-23,-3.0,3.0,1.0,28.0
2005-02-24,0.0,4.0,31.0,25.0
2005-02-25,0.0,0.0,32.0,21.0
2005-02-26,12.0,2.0,2.0,30.0
2005-02-27,-24.0,-1.0,71.0,44.0
2005-02-28,-31.0,0.0,92.0,27.0
2005-03-01,-13.0,20.0,0.0,58.0
2005-03-02,-7.0,61.0,0.0,30.0
2005-03-03,-24.0,-1.0,1.0,39.0
2005-03-04,-55.0,8.0,33.0,26.0
2005-03-05,-16.0,13.0,14.0,31.0
2005-03-06,-11.0,17.0,52.0,32.0
2005-03-07,35.0,18.0,13.0,29.0
2005-03-08,49.0,11.0,26.0,37.0
2005-03-09,44.0,3.0,26.0,28.0
2005-03-10,27.0,0.0,45.0,21.0
2005-03-11,45.0,43.0,0.0,58.0
2005-03-12,36.0,38.0,24.0,53.0
2005-03-13,45.0,-1.0,27.0,40.0
2005-03-14,40.0,1.0,0.0,28.0
2005-03-15,81.0,0.0,42.0,48.0
2005-03-16,139.0,10.0,57.0,55.0
2005-03-17,111.0,-1.0,5.0,67.0
2005-03-18,94.0,-1.0,3.0,37.0
2005-03-19,95.0,1.0,0.0,19.0
2005-03-20,78.0,0.0,70.0,33.0
2005-03-21,99.0,0.0,90.0,48.0
2005-03-22,122.0,17.0,12.0,41.0
2005-03-23,121.0,0.0,88.0,28.0
2005-03-24,128.0,9.0,52.0,33.0
2005-03-25,104.0,2.0,26.0,24.0
2005-03-26,108.0,5.0,29.0,22.0
2005-03-27,116.0,6.0,7.0,30.0
2005-03-28,104.0,-1.0,1.0,22.0
2005-03-29,104.0,0.0,6.0,24.0
2005-03-30,118.0,1.0,16.0,39.0
2005-03-31,111.0,14.0,62.0,30.0
2005-04-01,102.0,0.0,81.0,26.0
2005-04-02,108.0,0.0,92.0,35.0
2005-04-03,138.0,0.0,75.0,25.0
2005-04-04,118.0,30.0,53.0,33.0
2005-04-05,90.0,2.0,70.0,33.0
2005-04-06,88.0,15.0,11.0,43.0
2005-04-07,91.0,3.0,54.0,67.0
2005-04-08,64.0,73.0,20.0,36.0
2005-04-09,48.0,49.0,32.0,39.0
2005-04-10,78.0,14.0,36.0,28.0
2005-04-11,104.0,0.0,89.0,24.0
2005-04-12,99.0,0.0,65.0,17.0
2005-04-13,105.0,82.0,1.0,33.0
2005-04-14,124.0,23.0,18.0,36.0
2005-04-15,107.0,-1.0,25.0,35.0
2005-04-16,78.0,46.0,0.0,35.0
2005-04-17,116.0,0.0,53.0,23.0
2005-04-18,105.0,14.0,21.0,28.0
2005-04-19,86.0,83.0,2.0,19.0
2005-04-20,88.0,26.0,32.0,28.0
2005-04-21,83.0,0.0,93.0,25.0
2005-04-22,89.0,0.0,92.0,18.0
2005-04-23,112.0,0.0,90.0,23.0
2005-04-24,126.0,0.0,64.0,31.0
2005-04-25,127.0,0.0,50.0,36.0
2005-04-26,106.0,53.0,5.0,19.0
2005-04-27,114.0,29.0,64.0,40.0
2005-04-28,129.0,3.0,25.0,28.0
2005-04-29,142.0,84.0,20.0,22.0
2005-04-30,151.0,0.0,7.0,16.0
2005-05-01,196.0,-1.0,58.0,27.0
2005-05-02,151.0,30.0,11.0,13.0
2005-05-03,138.0,18.0,27.0,19.0
2005-05-04,118.0,2.0,1.0,32.0
2005-05-05,98.0,45.0,29.0,33.0
2005-05-06,104.0,2.0,56.0,40.0
2005-05-07,85.0,70.0,26.0,33.0
2005-05-08,77.0,20.0,60.0,34.0
2005-05-09,79.0,31.0,55.0,35.0
2005-05-10,80.0,3.0,41.0,31.0
2005-05-11,82.0,1.0,58.0,30.0
2005-05-12,89.0,0.0,80.0,35.0
2005-05-13,118.0,0.0,69.0,48.0
2005-05-14,109.0,0.0,85.0,48.0
2005-05-15,107.0,46.0,37.0,29.0
2005-05-16,91.0,10.0,1.0,23.0
2005-05-17,67.0,14.0,21.0,19.0
2005-05-18,83.0,0.0,64.0,12.0
2005-05-19,133.0,36.0,21.0,40.0
2005-05-20,165.0,22.0,16.0,35.0
2005-05-21,156.0,35.0,60.0,34.0
2005-05-22,146.0,19.0,61.0,35.0
2005-05-23,124.0,0.0,62.0,35.0
2005-05-24,136.0,-1.0,11.0,41.0
2005-05-25,174.0,0.0,47.0,35.0
